State,District,Crime,Year,Count
Andhra Pradesh,Anantapur,Cybercrime,2018,52
Andhra Pradesh,Chittoor,Cybercrime,2018,10
Andhra Pradesh,Cuddapah,Cybercrime,2018,4
Andhra Pradesh,Godavari,Cybercrime,2018,16
Andhra Pradesh,Guntur,Cybercrime,2018,58
Andhra Pradesh,Krishna,Cybercrime,2018,26
Andhra Pradesh,Kurnool,Cybercrime,2018,40
Andhra Pradesh,Nellore,Cybercrime,2018,38
Andhra Pradesh,Prakasham,Cybercrime,2018,61
Andhra Pradesh,Rajahmundry,Cybercrime,2018,25
Andhra Pradesh,Srikakulam,Cybercrime,2018,39
Andhra Pradesh,Tirupathi,Cybercrime,2018,39
Andhra Pradesh,Vijayawada,Cybercrime,2018,181
Andhra Pradesh,Visakha,Cybercrime,2018,0
Andhra Pradesh,Visakhapatnam,Cybercrime,2018,427
Andhra Pradesh,Vizianagaram,Cybercrime,2018,53
Andhra Pradesh,West Godavari,Cybercrime,2018,83
Arunachal Pradesh,Anjaw,Cybercrime,2018,0
Arunachal Pradesh,Changlang,Cybercrime,2018,0
Arunachal Pradesh,Dibang Valley,Cybercrime,2018,0
Arunachal Pradesh,Kameng,Cybercrime,2018,0
Arunachal Pradesh,Kurung Kumey,Cybercrime,2018,0
Arunachal Pradesh,Lohit,Cybercrime,2018,0
Arunachal Pradesh,Longding,Cybercrime,2018,0
Arunachal Pradesh,Papum Pare City,Cybercrime,2018,4
Arunachal Pradesh,Papum Pare Rural,Cybercrime,2018,0
Arunachal Pradesh,Subansiri,Cybercrime,2018,0
Arunachal Pradesh,Tawang,Cybercrime,2018,0
Arunachal Pradesh,Tirap,Cybercrime,2018,0
Arunachal Pradesh,Namsai,Cybercrime,2018,0
Arunachal Pradesh,Kamle,Cybercrime,2018,0
Arunachal Pradesh,Leparada,Cybercrime,2018,0
Assam,Barpeta,Cybercrime,2018,131
Assam,Baksa,Cybercrime,2018,38
Assam,Bongaigaon,Cybercrime,2018,35
Assam,Cachar,Cybercrime,2018,100
Assam,Chirang,Cybercrime,2018,13
Assam,Darrang,Cybercrime,2018,59
Assam,Dhemaji,Cybercrime,2018,14
Assam,Dhubri,Cybercrime,2018,0
Assam,Dibrugarh,Cybercrime,2018,173
Assam,Goalpara,Cybercrime,2018,47
Assam,Golaghat,Cybercrime,2018,64
Assam,Guwahati ,Cybercrime,2018,455
Assam,Hailakandi,Cybercrime,2018,17
Assam,Hamren,Cybercrime,2018,4
Assam,Jorhat,Cybercrime,2018,104
Assam,Kamrup,Cybercrime,2018,105
Assam,Karbi Anglong,Cybercrime,2018,23
Assam,Karimganj,Cybercrime,2018,237
Assam,Kokrajhar,Cybercrime,2018,0
Assam,Lakhimpur,Cybercrime,2018,18
Assam,Morigaon,Cybercrime,2018,0
Assam,Dima Hasao,Cybercrime,2018,15
Assam,Nagaon,Cybercrime,2018,0
Assam,Nalbari,Cybercrime,2018,22
Assam,Sibsagar,Cybercrime,2018,62
Assam,Sonitpur,Cybercrime,2018,86
Assam,Tinsukia,Cybercrime,2018,115
Assam,Udalguri,Cybercrime,2018,16
Assam,Sadia,Cybercrime,2018,5
Assam,Majuli,Cybercrime,2018,3
Assam,Biswanath,Cybercrime,2018,0
Assam,Hojai,Cybercrime,2018,38
Assam,Salmara,Cybercrime,2018,10
Assam,Charaideo,Cybercrime,2018,12
Bihar,Araria,Cybercrime,2018,11
Bihar,Arwal,Cybercrime,2018,1
Bihar,Aurangabad,Cybercrime,2018,0
Bihar,Bagaha,Cybercrime,2018,0
Bihar,Banka,Cybercrime,2018,0
Bihar,Begusarai,Cybercrime,2018,0
Bihar,Bettiah,Cybercrime,2018,23
Bihar,Bhabhua,Cybercrime,2018,0
Bihar,Bhagalpur,Cybercrime,2018,0
Bihar,Bhojpur,Cybercrime,2018,6
Bihar,Buxar,Cybercrime,2018,0
Bihar,Darbhanga,Cybercrime,2018,9
Bihar,Gaya,Cybercrime,2018,2
Bihar,Gopalganj,Cybercrime,2018,11
Bihar,Jamui,Cybercrime,2018,0
Bihar,Jehanabad,Cybercrime,2018,0
Bihar,Katihar,Cybercrime,2018,2
Bihar,Khagaria,Cybercrime,2018,0
Bihar,Kishanganj,Cybercrime,2018,1
Bihar,Lakhisarai,Cybercrime,2018,0
Bihar,Madhepura,Cybercrime,2018,0
Bihar,Madhubani,Cybercrime,2018,0
Bihar,Motihari,Cybercrime,2018,1
Bihar,Munger,Cybercrime,2018,31
Bihar,Muzaffarpur,Cybercrime,2018,33
Bihar,Nalanda,Cybercrime,2018,6
Bihar,Naugachia,Cybercrime,2018,0
Bihar,Nawadah,Cybercrime,2018,6
Bihar,Patna,Cybercrime,2018,119
Bihar,Purnea,Cybercrime,2018,8
Bihar,Rohtas,Cybercrime,2018,0
Bihar,Saharsa,Cybercrime,2018,0
Bihar,Samastipur,Cybercrime,2018,23
Bihar,Saran,Cybercrime,2018,19
Bihar,Sheikhpura,Cybercrime,2018,0
Bihar,Sheohar,Cybercrime,2018,4
Bihar,Sitamarhi,Cybercrime,2018,47
Bihar,Siwan,Cybercrime,2018,0
Bihar,Supaul,Cybercrime,2018,0
Bihar,Vaishali,Cybercrime,2018,10
Chhattisgarh,Balod,Cybercrime,2018,5
Chhattisgarh,Balodbazar,Cybercrime,2018,5
Chhattisgarh,Balrampur,Cybercrime,2018,0
Chhattisgarh,Bemetra,Cybercrime,2018,4
Chhattisgarh,Bilaspur,Cybercrime,2018,6
Chhattisgarh,Bizapur,Cybercrime,2018,0
Chhattisgarh,Dantewara,Cybercrime,2018,5
Chhattisgarh,Dhamtari,Cybercrime,2018,13
Chhattisgarh,Durg,Cybercrime,2018,10
Chhattisgarh,Gariyaband,Cybercrime,2018,1
Chhattisgarh,Jagdalpur,Cybercrime,2018,0
Chhattisgarh,Janjgir,Cybercrime,2018,0
Chhattisgarh,Jashpur,Cybercrime,2018,3
Chhattisgarh,Kabirdham,Cybercrime,2018,9
Chhattisgarh,Kanker,Cybercrime,2018,9
Chhattisgarh,Kondagaon,Cybercrime,2018,0
Chhattisgarh,Korba,Cybercrime,2018,16
Chhattisgarh,Koriya,Cybercrime,2018,3
Chhattisgarh,Mahasamund,Cybercrime,2018,2
Chhattisgarh,Mungali,Cybercrime,2018,0
Chhattisgarh,Narayanpur,Cybercrime,2018,0
Chhattisgarh,Raigarh,Cybercrime,2018,4
Chhattisgarh,Raipur,Cybercrime,2018,29
Chhattisgarh,Rajnandgaon,Cybercrime,2018,1
Chhattisgarh,Sarguja,Cybercrime,2018,5
Chhattisgarh,Sukma,Cybercrime,2018,0
Chhattisgarh,Surajpur,Cybercrime,2018,9
Goa,North Goa,Cybercrime,2018,1
Goa,South Goa,Cybercrime,2018,1
Gujarat,Ahmedabad,Cybercrime,2018,212
Gujarat,Amreli,Cybercrime,2018,23
Gujarat,Anand,Cybercrime,2018,7
Gujarat,Arvalli,Cybercrime,2018,2
Gujarat,Banaskantha,Cybercrime,2018,16
Gujarat,Bharuch,Cybercrime,2018,12
Gujarat,Bhavnagar,Cybercrime,2018,12
Gujarat,Botad,Cybercrime,2018,5
Gujarat,Chhotaudepur,Cybercrime,2018,1
Gujarat,Dahod,Cybercrime,2018,8
Gujarat,Dang,Cybercrime,2018,0
Gujarat,Devbhumi Dwarka,Cybercrime,2018,1
Gujarat,Gandhinagar,Cybercrime,2018,19
Gujarat,Gir Somnath,Cybercrime,2018,9
Gujarat,Jamnagar,Cybercrime,2018,12
Gujarat,Junagadh,Cybercrime,2018,27
Gujarat,Kachchh,Cybercrime,2018,7
Gujarat,Kheda,Cybercrime,2018,1
Gujarat,Mahisagar,Cybercrime,2018,0
Gujarat,Mehsana,Cybercrime,2018,13
Gujarat,Morbi,Cybercrime,2018,8
Gujarat,Narmada,Cybercrime,2018,0
Gujarat,Navsari,Cybercrime,2018,10
Gujarat,Panchmahal,Cybercrime,2018,4
Gujarat,Patan,Cybercrime,2018,4
Gujarat,Porbandar,Cybercrime,2018,5
Gujarat,Rajkot,Cybercrime,2018,7
Gujarat,Sabarkantha,Cybercrime,2018,30
Gujarat,Surat,Cybercrime,2018,155
Gujarat,Surendranagar,Cybercrime,2018,6
Gujarat,Tapi,Cybercrime,2018,4
Gujarat,Vadodara,Cybercrime,2018,15
Gujarat,Valsad,Cybercrime,2018,11
Haryana,Ambala,Cybercrime,2018,26
Haryana,Bhiwani,Cybercrime,2018,17
Haryana,Faridabad,Cybercrime,2018,17
Haryana,Fatehabad,Cybercrime,2018,8
Haryana,Gurugram,Cybercrime,2018,169
Haryana,Hissar,Cybercrime,2018,36
Haryana,Jhajjar,Cybercrime,2018,2
Haryana,Jind,Cybercrime,2018,9
Haryana,Kaithal,Cybercrime,2018,12
Haryana,Karnal,Cybercrime,2018,19
Haryana,Kurukshetra,Cybercrime,2018,2
Haryana,Mahendergarh,Cybercrime,2018,9
Haryana,Mewat,Cybercrime,2018,7
Haryana,Palwal,Cybercrime,2018,12
Haryana,Panchkula,Cybercrime,2018,15
Haryana,Panipat,Cybercrime,2018,10
Haryana,Rewari,Cybercrime,2018,3
Haryana,Rohtak,Cybercrime,2018,10
Haryana,Sirsa,Cybercrime,2018,6
Haryana,Sonipat,Cybercrime,2018,0
Haryana,Yamunanagar,Cybercrime,2018,16
Haryana,Charkhi Dadri,Cybercrime,2018,7
Haryana,Hansi,Cybercrime,2018,6
Himachal Pradesh,Baddi,Cybercrime,2018,4
Himachal Pradesh,Bilaspur,Cybercrime,2018,6
Himachal Pradesh,Chamba,Cybercrime,2018,1
Himachal Pradesh,Hamirpur,Cybercrime,2018,5
Himachal Pradesh,Kangra,Cybercrime,2018,17
Himachal Pradesh,Kinnaur,Cybercrime,2018,3
Himachal Pradesh,Kullu,Cybercrime,2018,3
Himachal Pradesh,Lahaul & Spiti,Cybercrime,2018,1
Himachal Pradesh,Mandi,Cybercrime,2018,3
Himachal Pradesh,Shimla,Cybercrime,2018,10
Himachal Pradesh,Sirmaur,Cybercrime,2018,4
Himachal Pradesh,Solan,Cybercrime,2018,5
Himachal Pradesh,Una,Cybercrime,2018,4
Jammu & Kashmir,Anantnag,Cybercrime,2018,5
Jammu & Kashmir,Awantipora,Cybercrime,2018,0
Jammu & Kashmir,Bandipora,Cybercrime,2018,1
Jammu & Kashmir,Baramulla,Cybercrime,2018,4
Jammu & Kashmir,Budgam,Cybercrime,2018,3
Jammu & Kashmir,Doda,Cybercrime,2018,3
Jammu & Kashmir,Ganderbal,Cybercrime,2018,1
Jammu & Kashmir,Handwara,Cybercrime,2018,0
Jammu & Kashmir,Jammu,Cybercrime,2018,14
Jammu & Kashmir,Kargil,Cybercrime,2018,1
Jammu & Kashmir,Kathua,Cybercrime,2018,2
Jammu & Kashmir,Kishtwar,Cybercrime,2018,0
Jammu & Kashmir,Kulgam,Cybercrime,2018,0
Jammu & Kashmir,Kupwara,Cybercrime,2018,0
Jammu & Kashmir,Leh,Cybercrime,2018,0
Jammu & Kashmir,Poonch,Cybercrime,2018,4
Jammu & Kashmir,Pulwama,Cybercrime,2018,2
Jammu & Kashmir,Rajouri,Cybercrime,2018,6
Jammu & Kashmir,Ramban,Cybercrime,2018,3
Jammu & Kashmir,Reasi,Cybercrime,2018,0
Jammu & Kashmir,Samba,Cybercrime,2018,0
Jammu & Kashmir,Shopian,Cybercrime,2018,0
Jammu & Kashmir,Sopore,Cybercrime,2018,3
Jammu & Kashmir,Srinagar,Cybercrime,2018,15
Jammu & Kashmir,Udhampur,Cybercrime,2018,5
Jharkhand,Bokaro,Cybercrime,2018,33
Jharkhand,Chaibasa,Cybercrime,2018,20
Jharkhand,Chatra,Cybercrime,2018,15
Jharkhand,Deoghar,Cybercrime,2018,105
Jharkhand,Dhanbad,Cybercrime,2018,30
Jharkhand,Dumka,Cybercrime,2018,19
Jharkhand,Garhwa,Cybercrime,2018,28
Jharkhand,Giridih,Cybercrime,2018,68
Jharkhand,Godda,Cybercrime,2018,0
Jharkhand,Gumla,Cybercrime,2018,19
Jharkhand,Hazaribagh,Cybercrime,2018,65
Jharkhand,Jamshedpur,Cybercrime,2018,83
Jharkhand,Jamtara,Cybercrime,2018,84
Jharkhand,Khunti,Cybercrime,2018,9
Jharkhand,Koderma,Cybercrime,2018,21
Jharkhand,Latehar,Cybercrime,2018,5
Jharkhand,Lohardagga,Cybercrime,2018,0
Jharkhand,Pakur,Cybercrime,2018,14
Jharkhand,Palamu,Cybercrime,2018,11
Jharkhand,Ramgarh,Cybercrime,2018,28
Jharkhand,Ranchi,Cybercrime,2018,214
Jharkhand,Sahebganj,Cybercrime,2018,9
Jharkhand,Saraikela,Cybercrime,2018,42
Jharkhand,Simdega,Cybercrime,2018,6
Karnataka,Bagalkot,Cybercrime,2018,6
Karnataka,Bengaluru,Cybercrime,2018,5253
Karnataka,Ballari,Cybercrime,2018,11
Karnataka,Bidar,Cybercrime,2018,16
Karnataka,Vijayapura,Cybercrime,2018,1
Karnataka,Chikkaballapura,Cybercrime,2018,10
Karnataka,Chamarajnagar,Cybercrime,2018,9
Karnataka,Chikkamagaluru,Cybercrime,2018,17
