State,District,Crimetype,Year,Cases
Andhra Pradesh,Anantapur,IPC Crime,2016,7098
Andhra Pradesh,Chittoor,IPC Crime,2016,4242
Andhra Pradesh,Cuddapah,IPC Crime,2016,7429
Andhra Pradesh,Godavari,IPC Crime,2016,7991
Andhra Pradesh,Guntur,IPC Crime,2016,4294
Andhra Pradesh,Krishna,IPC Crime,2016,6829
Andhra Pradesh,Kurnool,IPC Crime,2016,8216
Andhra Pradesh,Nellore,IPC Crime,2016,7509
Andhra Pradesh,Prakasham,IPC Crime,2016,6367
Andhra Pradesh,Rajahmundry,IPC Crime,2016,2516
Andhra Pradesh,Srikakulam,IPC Crime,2016,3427
Andhra Pradesh,Tirupathi,IPC Crime,2016,2951
Andhra Pradesh,Vijayawada,IPC Crime,2016,7062
Andhra Pradesh,Visakha,IPC Crime,2016,2750
Andhra Pradesh,Visakhapatnam,IPC Crime,2016,6763
Andhra Pradesh,Vizianagaram,IPC Crime,2016,4356
Andhra Pradesh,West Godavari,IPC Crime,2016,8676
Arunachal Pradesh,Anjaw,IPC Crime,2016,20
Arunachal Pradesh,Changlang,IPC Crime,2016,158
Arunachal Pradesh,Dibang Valley,IPC Crime,2016,9
Arunachal Pradesh,Kameng,IPC Crime,2016,112
Arunachal Pradesh,Kurung Kumey,IPC Crime,2016,53
Arunachal Pradesh,Lohit,IPC Crime,2016,105
Arunachal Pradesh,Longding,IPC Crime,2016,51
Arunachal Pradesh,Papum Pare City,IPC Crime,2016,771
Arunachal Pradesh,Papum Pare Rural,IPC Crime,2016,81
Arunachal Pradesh,Subansiri,IPC Crime,2016,154
Arunachal Pradesh,Tawang,IPC Crime,2016,38
Arunachal Pradesh,Tirap,IPC Crime,2016,64
Arunachal Pradesh,Namsai,IPC Crime,2016,147
Assam,Barpeta,IPC Crime,2016,6895
Assam,Baksa,IPC Crime,2016,1334
Assam,Bongaigaon,IPC Crime,2016,2281
Assam,Cachar,IPC Crime,2016,6010
Assam,Chirang,IPC Crime,2016,886
Assam,Darrang,IPC Crime,2016,3942
Assam,Dhemaji,IPC Crime,2016,1389
Assam,Dhubri,IPC Crime,2016,6104
Assam,Dibrugarh,IPC Crime,2016,3287
Assam,Goalpara,IPC Crime,2016,2700
Assam,Golaghat,IPC Crime,2016,3065
Assam,Guwahati ,IPC Crime,2016,13018
Assam,Hailakandi,IPC Crime,2016,2369
Assam,Hamren,IPC Crime,2016,312
Assam,Jorhat,IPC Crime,2016,4258
Assam,Kamrup,IPC Crime,2016,4589
Assam,Karbi Anglong,IPC Crime,2016,1046
Assam,Karimganj,IPC Crime,2016,2823
Assam,Kokrajhar,IPC Crime,2016,1681
Assam,Lakhimpur,IPC Crime,2016,3608
Assam,Morigaon,IPC Crime,2016,3189
Assam,Dima Hasao,IPC Crime,2016,248
Assam,Nagaon,IPC Crime,2016,7321
Assam,Nalbari,IPC Crime,2016,2078
Assam,Sibsagar,IPC Crime,2016,2546
Assam,Sonitpur,IPC Crime,2016,3788
Assam,Tinsukia,IPC Crime,2016,3239
Assam,Udalguri,IPC Crime,2016,1162
Assam,Sadia,IPC Crime,2016,203
Assam,Majuli,IPC Crime,2016,211
Assam,Biswanath,IPC Crime,2016,1342
Assam,Hojai,IPC Crime,2016,2491
Assam,Salmara,IPC Crime,2016,1587
Assam,Charaideo,IPC Crime,2016,649
Bihar,Araria,IPC Crime,2016,3704
Bihar,Arwal,IPC Crime,2016,936
Bihar,Aurangabad,IPC Crime,2016,2568
Bihar,Bagaha,IPC Crime,2016,1523
Bihar,Banka,IPC Crime,2016,3405
Bihar,Begusarai,IPC Crime,2016,4273
Bihar,Bettiah,IPC Crime,2016,4520
Bihar,Bhabhua,IPC Crime,2016,2810
Bihar,Bhagalpur,IPC Crime,2016,3913
Bihar,Bhojpur,IPC Crime,2016,5606
Bihar,Buxar,IPC Crime,2016,2832
Bihar,Darbhanga,IPC Crime,2016,5157
Bihar,Gaya,IPC Crime,2016,7557
Bihar,Gopalganj,IPC Crime,2016,3260
Bihar,Jamui,IPC Crime,2016,2080
Bihar,Jehanabad,IPC Crime,2016,1802
Bihar,Katihar,IPC Crime,2016,3669
Bihar,Khagaria,IPC Crime,2016,2446
Bihar,Kishanganj,IPC Crime,2016,1753
Bihar,Lakhisarai,IPC Crime,2016,1582
Bihar,Madhepura,IPC Crime,2016,2771
Bihar,Madhubani,IPC Crime,2016,5007
Bihar,Motihari,IPC Crime,2016,7816
Bihar,Munger,IPC Crime,2016,1932
Bihar,Muzaffarpur,IPC Crime,2016,8045
Bihar,Nalanda,IPC Crime,2016,6330
Bihar,Naugachia,IPC Crime,2016,1217
Bihar,Nawadah,IPC Crime,2016,3180
Bihar,Patna,IPC Crime,2016,17189
Bihar,Purnea,IPC Crime,2016,3708
Bihar,Rohtas,IPC Crime,2016,4939
Bihar,Saharsa,IPC Crime,2016,2989
Bihar,Samastipur,IPC Crime,2016,5084
Bihar,Saran,IPC Crime,2016,7511
Bihar,Sheikhpura,IPC Crime,2016,1399
Bihar,Sheohar,IPC Crime,2016,611
Bihar,Sitamarhi,IPC Crime,2016,4446
Bihar,Siwan,IPC Crime,2016,4425
Bihar,Supaul,IPC Crime,2016,2914
Bihar,Vaishali,IPC Crime,2016,4962
Chhattisgarh,Balod,IPC Crime,2016,1442
Chhattisgarh,Balodbazar,IPC Crime,2016,2255
Chhattisgarh,Balrampur,IPC Crime,2016,1002
Chhattisgarh,Bemetra,IPC Crime,2016,1554
Chhattisgarh,Bilaspur,IPC Crime,2016,5557
Chhattisgarh,Bizapur,IPC Crime,2016,352
Chhattisgarh,Dantewara,IPC Crime,2016,476
Chhattisgarh,Dhamtari,IPC Crime,2016,1133
Chhattisgarh,Durg,IPC Crime,2016,7306
Chhattisgarh,Gariyaband,IPC Crime,2016,1047
Chhattisgarh,Jagdalpur,IPC Crime,2016,1253
Chhattisgarh,Janjgir,IPC Crime,2016,2681
Chhattisgarh,Jashpur,IPC Crime,2016,1112
Chhattisgarh,Kabirdham,IPC Crime,2016,1380
Chhattisgarh,Kanker,IPC Crime,2016,1236
Chhattisgarh,Kondagaon,IPC Crime,2016,645
Chhattisgarh,Korba,IPC Crime,2016,2095
Chhattisgarh,Koriya,IPC Crime,2016,1700
Chhattisgarh,Mahasamund,IPC Crime,2016,1805
Chhattisgarh,Mungali,IPC Crime,2016,1098
