State,Crimetype,Year,Count
Andhra Pradesh,Crime committed against Women,2016,16362
Arunachal Pradesh,Crime committed against Women,2016,367
Assam,Crime committed against Women,2016,20869
Bihar,Crime committed against Women,2016,13400
Chhattisgarh,Crime committed against Women,2016,5947
Goa,Crime committed against Women,2016,371
Gujarat,Crime committed against Women,2016,8532
Haryana,Crime committed against Women,2016,9839
Himachal Pradesh,Crime committed against Women,2016,1222
Jammu & Kashmir,Crime committed against Women,2016,2850
Jharkhand,Crime committed against Women,2016,5453
Karnataka,Crime committed against Women,2016,14131
Kerala,Crime committed against Women,2016,10034
Madhya Pradesh,Crime committed against Women,2016,26604
Maharashtra,Crime committed against Women,2016,31388
Manipur,Crime committed against Women,2016,253
Meghalaya,Crime committed against Women,2016,372
Mizoram,Crime committed against Women,2016,120
Nagaland,Crime committed against Women,2016,105
Odisha,Crime committed against Women,2016,17837
Punjab,Crime committed against Women,2016,5105
Rajasthan,Crime committed against Women,2016,27422
Sikkim,Crime committed against Women,2016,153
Tamil Nadu,Crime committed against Women,2016,4463
Telangana,Crime committed against Women,2016,15374
Tripura,Crime committed against Women,2016,1013
Uttar Pradesh,Crime committed against Women,2016,49262
Uttarakhand,Crime committed against Women,2016,1588
West Bengal,Crime committed against Women,2016,32513
A & N Islands,Crime committed against Women,2016,108
Chandigarh,Crime committed against Women,2016,414
D&N Haveli,Crime committed against Women,2016,28
Daman & Diu,Crime committed against Women,2016,41
Delhi UT,Crime committed against Women,2016,15310
Lakshadweep,Crime committed against Women,2016,9
Puducherry,Crime committed against Women,2016,95
Andhra Pradesh,Crime committed against Women,2017,17909
Arunachal Pradesh,Crime committed against Women,2017,337
Assam,Crime committed against Women,2017,23082
Bihar,Crime committed against Women,2017,14711
Chhattisgarh,Crime committed against Women,2017,7996
Goa,Crime committed against Women,2017,369
Gujarat,Crime committed against Women,2017,8133
Haryana,Crime committed against Women,2017,11370
Himachal Pradesh,Crime committed against Women,2017,1246
Jammu & Kashmir,Crime committed against Women,2017,3129
Jharkhand,Crime committed against Women,2017,5911
Karnataka,Crime committed against Women,2017,14078
Kerala,Crime committed against Women,2017,11057
Madhya Pradesh,Crime committed against Women,2017,29788
Maharashtra,Crime committed against Women,2017,31979
Manipur,Crime committed against Women,2017,236
Meghalaya,Crime committed against Women,2017,567
Mizoram,Crime committed against Women,2017,301
Nagaland,Crime committed against Women,2017,79
Punjab,Crime committed against Women,2017,20098
Rajasthan,Crime committed against Women,2017,4620
Sikkim,Crime committed against Women,2017,25993
Tamil Nadu,Crime committed against Women,2017,163
Telangana,Crime committed against Women,2017,5397
Tripura,Crime committed against Women,2017,17521
Uttar Pradesh,Crime committed against Women,2017,972
Uttarakhand,Crime committed against Women,2017,56011
West Bengal,Crime committed against Women,2017,1944
A&N Islands,Crime committed against Women,2017,30992
Chandigarh,Crime committed against Women,2017,132
D&N Haveli,Crime committed against Women,2017,453
D&N Haveli,Crime committed against Women,2017,20
Delhi UT,Crime committed against Women,2017,26
Lakshadweep,Crime committed against Women,2017,13076
Puducherry,Crime committed against Women,2017,6
Nagaland,Crime committed against Women,2017,147
Andhra Pradesh,Crime committed against Women,2018,16438
Arunachal Pradesh,Crime committed against Women,2018,368
Assam,Crime committed against Women,2018,27739
Bihar,Crime committed against Women,2018,16920
Chhattisgarh,Crime committed against Women,2018,8587
Goa,Crime committed against Women,2018,362
Gujarat,Crime committed against Women,2018,8329
Haryana,Crime committed against Women,2018,14326
Himachal Pradesh,Crime committed against Women,2018,1633
Jammu & Kashmir,Crime committed against Women,2018,3437
Jharkhand,Crime committed against Women,2018,7083
Karnataka,Crime committed against Women,2018,13514
